城市,链接,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,别墅类型
石家庄,https://sjz.lianjia.com/ershoufang/101114115985.html,3室2厅1厨2卫,低楼层 (共17层),148.54㎡,暂无数据,暂无数据,板楼,南 北,钢混结构,简装,两梯三户,集中供暖,有,2022-01-26,商品房,2020-10-29,普通住宅,满两年,非共有,"
                                有抵押 160万元 中国建设银行 业主自还
                              ",已上传房本照片,
石家庄,https://sjz.lianjia.com/ershoufang/101117229536.html,3室1厅1厨1卫,高楼层 (共6层),90.12㎡,平层,90.12㎡,板楼,南 北,砖混结构,其他,一梯两户,集中供暖,暂无数据,2022-11-14,商品房,2000-01-21,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,
石家庄,https://sjz.lianjia.com/ershoufang/101117142830.html,4室2厅1厨2卫,高楼层 (共32层),199.83㎡,平层,暂无数据,板楼,北 南,钢混结构,简装,两梯两户,集中供暖,有,2022-11-05,商品房,2020-08-20,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,
石家庄,https://sjz.lianjia.com/ershoufang/101117255634.html,2室1厅1厨1卫,中楼层 (共6层),62.76㎡,平层,62.76㎡,板楼,南 北,砖混结构,精装,一梯三户,集中供暖,无,2022-11-17,商品房,2018-04-28,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,
石家庄,https://sjz.lianjia.com/ershoufang/101117247254.html,2室2厅1厨1卫,高楼层 (共27层),107.02㎡,平层,暂无数据,板楼,南,钢混结构,简装,两梯五户,集中供暖,有,2022-11-16,商品房,2018-05-18,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,
石家庄,https://sjz.lianjia.com/ershoufang/101117215440.html,3室2厅1厨1卫,高楼层 (共6层),101.39㎡,平层,暂无数据,板楼,南 北,砖混结构,简装,一梯两户,集中供暖,无,2022-11-12,商品房,2014-10-29,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
石家庄,https://sjz.lianjia.com/ershoufang/101117231424.html,2室2厅1厨1卫,中楼层 (共11层),97.34㎡,平层,暂无数据,板楼,南,钢混结构,精装,一梯四户,集中供暖,有,2022-11-14,商品房,2017-04-24,普通住宅,满五年,非共有,"
                                有抵押 90万元 业主自还
                              ",已上传房本照片,
石家庄,https://sjz.lianjia.com/ershoufang/101117244839.html,4室3厅1厨3卫,低楼层 (共1层),243.44㎡,跃层,暂无数据,板楼,南 北,钢混结构,精装,一梯六户,自供暖,无,2022-11-15,私产,2019-04-11,普通住宅,满两年,非共有,"
                                有抵押 70万元
                              ",已上传房本照片,
石家庄,https://sjz.lianjia.com/ershoufang/101117234384.html,3室2厅1厨1卫,高楼层 (共6层),93.46㎡,平层,暂无数据,板楼,南 北,砖混结构,简装,一梯两户,集中供暖,无,2022-11-14,商品房,2004-09-09,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
石家庄,https://sjz.lianjia.com/ershoufang/101117232687.html,3室2厅1厨2卫,中楼层 (共11层),158.45㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,有,2022-11-14,商品房,2020-05-21,普通住宅,满两年,非共有,"
                                有抵押 160万元 业主自还
                              ",已上传房本照片,
石家庄,https://sjz.lianjia.com/ershoufang/101117211361.html,3室2厅1厨2卫,高楼层 (共27层),131.78㎡,跃层,暂无数据,板楼,南,钢混结构,精装,两梯三户,集中供暖,有,2022-11-12,商品房,2016-02-26,普通住宅,满五年,非共有,"
                                有抵押 30万元 业主自还
                              ",已上传房本照片,
石家庄,https://sjz.lianjia.com/ershoufang/101117219175.html,3室2厅1厨2卫,中楼层 (共7层),129.31㎡,平层,暂无数据,板楼,南,混合结构,精装,一梯两户,集中供暖,无,2022-11-13,商品房,2017-09-07,普通住宅,满五年,非共有,"
                                有抵押 100万元
                              ",已上传房本照片,
石家庄,https://sjz.lianjia.com/ershoufang/101111711026.html,2室2厅1厨1卫,高楼层 (共6层),106.13㎡,暂无数据,暂无数据,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,2021-05-26,已购公房,1999-09-27,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
石家庄,https://sjz.lianjia.com/ershoufang/101117097275.html,2室2厅1厨1卫,中楼层 (共6层),87.05㎡,平层,73.6㎡,板楼,南 北,混合结构,简装,一梯两户,自供暖,无,2022-11-01,商品房,2019-04-15,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,
石家庄,https://sjz.lianjia.com/ershoufang/101117031945.html,3室2厅1厨2卫,高楼层 (共33层),167.59㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯三户,集中供暖,有,2022-10-26,商品房,2020-05-11,普通住宅,满两年,非共有,"
                                有抵押 50万元
                              ",已上传房本照片,
石家庄,https://sjz.lianjia.com/ershoufang/101116980278.html,3室2厅1厨2卫,中楼层 (共4层),138.95㎡,平层,暂无数据,板楼,南 北,砖混结构,简装,一梯两户,集中供暖,暂无数据,2022-10-20,商品房,2018-07-30,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片,
石家庄,https://sjz.lianjia.com/ershoufang/101117065897.html,2室2厅1厨1卫,高楼层 (共6层),92.89㎡,平层,暂无数据,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,2022-10-29,商品房,2013-09-03,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
石家庄,https://sjz.lianjia.com/ershoufang/101117066932.html,3室2厅1厨2卫,中楼层 (共32层),137.17㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯四户,集中供暖,有,2022-10-29,商品房,2020-07-21,普通住宅,满两年,非共有,"
                                有抵押 91万元
                              ",已上传房本照片,
石家庄,https://sjz.lianjia.com/ershoufang/101116959587.html,3室2厅1厨2卫,中楼层 (共12层),131.55㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯三户,集中供暖,有,2022-10-19,商品房,2018-12-19,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,
石家庄,https://sjz.lianjia.com/ershoufang/101117002600.html,2室2厅1厨2卫,中楼层 (共12层),106㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,有,2022-10-23,商品房,2020-06-16,普通住宅,满两年,非共有,"
                                有抵押 50万元 业主自还
                              ",已上传房本照片,
石家庄,https://sjz.lianjia.com/ershoufang/101117002603.html,3室2厅1厨2卫,中楼层 (共12层),141㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,有,2022-10-23,商品房,2020-06-16,普通住宅,满两年,非共有,"
                                有抵押 80万元 业主自还
                              ",已上传房本照片,
石家庄,https://sjz.lianjia.com/ershoufang/101117075942.html,3室2厅1厨1卫,中楼层 (共33层),115.39㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯四户,集中供暖,有,2022-10-30,商品房,2018-11-11,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片,
石家庄,https://sjz.lianjia.com/ershoufang/101117065868.html,4室2厅1厨3卫,低楼层 (共12层),200.2㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,有,2022-10-29,商品房,2013-07-15,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
石家庄,https://sjz.lianjia.com/ershoufang/101117220368.html,2室1厅1厨1卫,高楼层 (共6层),74㎡,平层,暂无数据,板楼,西南,砖混结构,精装,一梯四户,集中供暖,无,2022-11-13,商品房,2015-07-08,普通住宅,满五年,非共有,"
                                有抵押 75万元 建行
                              ",已上传房本照片,
石家庄,https://sjz.lianjia.com/ershoufang/101117245223.html,2室2厅1厨1卫,低楼层 (共34层),106.32㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯四户,集中供暖,有,2022-11-16,商品房,2016-11-07,普通住宅,满五年,共有,"
                                有抵押 90万元
                              ",已上传房本照片,
石家庄,https://sjz.lianjia.com/ershoufang/101114717191.html,4室2厅1厨3卫,低楼层 (共2层),240.2㎡,,240.2㎡,,南 北,未知结构,毛坯,,自供暖,,2022-03-31,商品房,2009-04-17,别墅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,暂无数据
石家庄,https://sjz.lianjia.com/ershoufang/101117239271.html,4室2厅1厨2卫,高楼层 (共33层),151.12㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯三户,集中供暖,有,2022-11-15,商品房,2019-06-18,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,
石家庄,https://sjz.lianjia.com/ershoufang/101117228671.html,1室1厅1厨1卫,低楼层 (共33层),62.88㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯四户,集中供暖,有,2022-11-14,商品房,2020-07-08,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,
石家庄,https://sjz.lianjia.com/ershoufang/101117223109.html,2室1厅1厨1卫,中楼层 (共6层),103.48㎡,平层,暂无数据,板楼,南,钢混结构,精装,一梯两户,集中供暖,无,2022-11-13,商品房,2006-07-13,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
石家庄,https://sjz.lianjia.com/ershoufang/101117219743.html,2室2厅1厨1卫,中楼层 (共27层),110.33㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯六户,集中供暖,有,2022-11-13,商品房,2013-03-25,普通住宅,满五年,非共有,"
                                有抵押 30万元 业主自还
                              ",已上传房本照片,
