城市,链接,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,别墅类型
太原,https://ty.lianjia.com/ershoufang/101117147086.html,3室2厅1厨2卫,中楼层 (共6层),123.23㎡,平层,109.17㎡,暂无数据,南 北,未知结构,简装,一梯两户,暂无数据,2022-11-05,商品房,2020-11-05,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,
太原,https://ty.lianjia.com/ershoufang/101117218006.html,2室2厅1厨1卫,低楼层 (共33层),102㎡,平层,暂无数据,板楼,东南,钢混结构,其他,两梯八户,有,2022-11-13,商品房,2016-05-25,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
太原,https://ty.lianjia.com/ershoufang/101117181881.html,2室2厅1厨1卫,中楼层 (共33层),84.64㎡,平层,67.18㎡,板塔结合,东 南,钢混结构,精装,两梯五户,有,2022-11-09,商品房,2016-01-11,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
太原,https://ty.lianjia.com/ershoufang/101117258774.html,2室1厅1厨1卫,低楼层 (共33层),91.33㎡,平层,71.2㎡,板楼,南 北,钢混结构,其他,一梯三户,有,2022-11-17,商品房,2017-11-09,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
太原,https://ty.lianjia.com/ershoufang/101115478215.html,2室2厅1厨1卫,高楼层 (共6层),98.62㎡,平层,86.88㎡,板楼,南 北,混合结构,精装,一梯三户,无,2022-06-13,商品房,2019-09-13,普通住宅,满两年,非共有,"
                                有抵押 业主自还
                              ",已上传房本照片,
太原,https://ty.lianjia.com/ershoufang/101103982243.html,3室2厅1厨2卫,中楼层 (共28层),137.12㎡,平层,109.2㎡,板塔结合,南 北,钢混结构,简装,两梯三户,有,2019-01-14,商品房,2018-05-14,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,
太原,https://ty.lianjia.com/ershoufang/101116725335.html,5室2厅1厨3卫,低楼层 (共3层),371.65㎡,,暂无数据,,南 北,钢混结构,简装,,,2022-09-26,商品房,2009-11-07,别墅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,联排
太原,https://ty.lianjia.com/ershoufang/101116243040.html,4室2厅1厨3卫,低楼层 (共33层),308.97㎡,平层,246.94㎡,板塔结合,南 北,框架结构,精装,两梯两户,有,2022-08-16,商品房,2020-08-18,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,
太原,https://ty.lianjia.com/ershoufang/101117092949.html,2室1厅1厨1卫,高楼层 (共6层),66.56㎡,平层,暂无数据,暂无数据,南 北,砖混结构,简装,一梯两户,暂无数据,2022-10-31,商品房,2017-02-23,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
太原,https://ty.lianjia.com/ershoufang/101114535596.html,3室2厅1厨2卫,低楼层 (共33层),130.92㎡,平层,106.53㎡,板楼,南 北,钢混结构,精装,两梯四户,有,2022-03-12,商品房,2018-08-11,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片,
太原,https://ty.lianjia.com/ershoufang/101116176512.html,3室2厅1厨2卫,中楼层 (共26层),155.51㎡,平层,暂无数据,板楼,南 北,钢混结构,简装,两梯三户,有,2022-08-11,商品房,2017-11-20,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
太原,https://ty.lianjia.com/ershoufang/101117263326.html,3室1厅1厨1卫,高楼层 (共5层),79.33㎡,平层,暂无数据,板楼,南 北,混合结构,精装,一梯两户,无,2022-11-17,商品房,2002-12-27,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
太原,https://ty.lianjia.com/ershoufang/101117341273.html,3室1厅1厨2卫,中楼层 (共20层),143.23㎡,平层,112.04㎡,板楼,南 北,框架结构,简装,两梯两户,有,2022-11-28,商品房,2021-10-29,普通住宅,未满两年,共有,"
                                无抵押
                              ",已上传房本照片,
太原,https://ty.lianjia.com/ershoufang/101117182451.html,3室2厅1厨1卫,高楼层 (共6层),123.21㎡,平层,110㎡,暂无数据,南 北,未知结构,其他,一梯两户,无,2022-11-09,商品房,2013-08-09,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
太原,https://ty.lianjia.com/ershoufang/101117154687.html,3室2厅1厨2卫,低楼层 (共22层),97.43㎡,复式,暂无数据,板塔结合,南 北,钢混结构,精装,两梯四户,有,2022-11-06,商品房,2016-05-16,普通住宅,满五年,非共有,"
                                有抵押 20万元 业主自还
                              ",已上传房本照片,
太原,https://ty.lianjia.com/ershoufang/101117126278.html,3室2厅1厨2卫,高楼层 (共15层),120.86㎡,平层,100.31㎡,板楼,南 北,钢混结构,精装,两梯两户,有,2022-11-03,商品房,2020-05-27,普通住宅,满两年,非共有,"
                                有抵押 60万元 建行 客户偿还
                              ",已上传房本照片,
太原,https://ty.lianjia.com/ershoufang/101117211050.html,2室1厅1厨1卫,低楼层 (共4层),53.66㎡,平层,暂无数据,板楼,南 北,混合结构,简装,一梯三户,无,2022-11-12,房改房,2018-11-23,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片,
太原,https://ty.lianjia.com/ershoufang/101117174187.html,3室1厅1厨1卫,高楼层 (共6层),99.5㎡,平层,暂无数据,板楼,南 北,砖混结构,简装,一梯三户,无,2022-11-08,商品房,暂无数据,普通住宅,暂无数据,共有,"
                                无抵押
                              ",未上传房本照片,
太原,https://ty.lianjia.com/ershoufang/101116139789.html,3室2厅1厨1卫,高楼层 (共16层),131.66㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯两户,有,2022-08-08,商品房,2018-12-28,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片,
太原,https://ty.lianjia.com/ershoufang/101115895081.html,3室2厅1厨2卫,高楼层 (共19层),126.04㎡,错层,暂无数据,板楼,南 北,钢混结构,简装,一梯四户,有,2022-07-18,商品房,2013-12-24,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
太原,https://ty.lianjia.com/ershoufang/101115919753.html,2室1厅1厨1卫,中楼层 (共34层),120.06㎡,平层,94.58㎡,板塔结合,东 南,钢混结构,精装,两梯八户,有,2022-07-20,商品房,2017-07-27,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
太原,https://ty.lianjia.com/ershoufang/101115953723.html,3室1厅1厨1卫,中楼层 (共5层),85.01㎡,平层,70.29㎡,板楼,东 西,砖混结构,简装,一梯两户,无,2022-07-23,商品房,2015-07-08,普通住宅,满五年,共有,"
                                有抵押 9万元 公积金 业主自还
                              ",已上传房本照片,
太原,https://ty.lianjia.com/ershoufang/101117183646.html,4室2厅1厨2卫,低楼层 (共30层),132.43㎡,平层,暂无数据,板楼,南 北,钢混结构,简装,两梯四户,有,2022-11-09,商品房,2018-10-10,普通住宅,满两年,非共有,"
                                有抵押 20万元 业主自还
                              ",已上传房本照片,
太原,https://ty.lianjia.com/ershoufang/101117165923.html,2室1厅1厨1卫,中楼层 (共5层),58.17㎡,平层,49.92㎡,板楼,南 北,混合结构,简装,一梯两户,暂无数据,2022-11-07,商品房,2010-09-10,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
太原,https://ty.lianjia.com/ershoufang/101117236003.html,3室1厅1厨1卫,中楼层 (共5层),61.68㎡,平层,暂无数据,板楼,南 北,砖混结构,其他,一梯三户,无,2022-11-14,商品房,2009-11-30,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
太原,https://ty.lianjia.com/ershoufang/101117113169.html,2室1厅1厨1卫,高楼层 (共4层),70.86㎡,平层,暂无数据,板楼,南 北,混合结构,精装,一梯两户,无,2022-11-02,商品房,2009-11-01,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
太原,https://ty.lianjia.com/ershoufang/101117205564.html,3室2厅1厨1卫,高楼层 (共6层),101.99㎡,平层,暂无数据,板楼,南 西 北,砖混结构,简装,一梯两户,无,2022-11-11,商品房,2005-05-11,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
太原,https://ty.lianjia.com/ershoufang/101117230242.html,3室2厅1厨2卫,中楼层 (共29层),154.37㎡,平层,123.49㎡,板楼,南 北,钢混结构,精装,两梯两户,有,2022-11-14,商品房,2016-12-31,普通住宅,满五年,非共有,"
                                有抵押 94万元 邮政 金融公司垫资
                              ",已上传房本照片,
太原,https://ty.lianjia.com/ershoufang/101117108079.html,3室2厅1厨1卫,中楼层 (共6层),119.11㎡,平层,119㎡,板楼,北 南 西,砖混结构,精装,一梯两户,无,2022-11-02,商品房,2007-07-30,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,
太原,https://ty.lianjia.com/ershoufang/101117257772.html,2室2厅1厨1卫,中楼层 (共30层),111.91㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,三梯六户,有,2022-11-17,商品房,暂无数据,普通住宅,暂无数据,共有,"
                                无抵押
                              ",未上传房本照片,
