城市,链接,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,用水类型
广州,https://gz.lianjia.com/ershoufang/108403695080.html,2室1厅1厨1卫,低楼层 (共32层),76.29㎡,平层,61.78㎡,塔楼,西南,钢混结构,精装,两梯六户,有,2022-09-01,商品房,2008-03-03,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
广州,https://gz.lianjia.com/ershoufang/108403915586.html,4室2厅1厨2卫,中楼层 (共18层),128.81㎡,平层,101.38㎡,塔楼,东南,钢混结构,精装,两梯三户,有,2022-11-17,商品房,2014-11-18,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
广州,https://gz.lianjia.com/ershoufang/108403914404.html,4室2厅1厨4卫,低楼层 (共31层),188.3㎡,平层,144.42㎡,塔楼,东南,钢混结构,毛坯,两梯两户,有,2022-11-17,商品房,2014-05-14,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
广州,https://gz.lianjia.com/ershoufang/108403933368.html,4室2厅1厨2卫,高楼层 (共28层),147.3㎡,平层,暂无数据,塔楼,东南,钢混结构,精装,两梯四户,有,2022-11-26,商品房,2013-07-03,普通住宅,满五年,共有,"
                                有抵押 220万元
                              ",已上传房本照片,
广州,https://gz.lianjia.com/ershoufang/108403937556.html,3室1厅1厨1卫,中楼层 (共6层),93.65㎡,平层,93.65㎡,平房,东南,钢混结构,简装,一梯三户,无,2022-11-29,商品房,2010-12-01,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,
广州,https://gz.lianjia.com/ershoufang/108403879247.html,5室3厅1厨3卫,低楼层 (共3层),167.41㎡,复式,暂无数据,暂无数据,南 北,未知结构,毛坯,一梯一户,无,2022-11-02,商品房,2016-11-17,普通住宅,满五年,非共有,"
                                有抵押
                              ",已上传房本照片,
广州,https://gz.lianjia.com/ershoufang/108403921630.html,3室2厅1厨1卫,中楼层 (共28层),87.42㎡,平层,71.96㎡,塔楼,西南,钢混结构,简装,三梯八户,有,2022-11-20,商品房,2017-01-07,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
广州,https://gz.lianjia.com/ershoufang/108403925879.html,3室2厅1厨3卫,低楼层 (共16层),199.07㎡,平层,157.29㎡,塔楼,西南,钢混结构,精装,两梯两户,有,2022-11-22,商品房,2017-06-08,普通住宅,满五年,非共有,"
                                有抵押 1091万元 招商银行股份有限公司广州分行 客户偿还
                              ",已上传房本照片,
广州,https://gz.lianjia.com/ershoufang/108403931973.html,4室2厅1厨2卫,中楼层 (共18层),159.67㎡,平层,暂无数据,塔楼,东南,钢混结构,精装,两梯三户,有,2022-11-25,商品房,2008-03-18,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
广州,https://gz.lianjia.com/ershoufang/108403930645.html,2室1厅1厨1卫,中楼层 (共15层),65.38㎡,平层,51.59㎡,塔楼,西南,钢混结构,精装,两梯八户,有,2022-11-24,商品房,2003-09-01,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,
广州,https://gz.lianjia.com/ershoufang/108403933356.html,2室1厅1厨1卫,低楼层 (共7层),50.67㎡,平层,暂无数据,塔楼,东南,混合结构,简装,一梯五户,无,2022-11-26,商品房,暂无数据,普通住宅,暂无数据,共有,"
                                有抵押 50万元 业主自还
                              ",未上传房本照片,
广州,https://gz.lianjia.com/ershoufang/108403929347.html,3室1厅1厨2卫,中楼层 (共11层),101.8㎡,平层,暂无数据,塔楼,东南,钢混结构,精装,一梯四户,有,2022-11-24,商品房,2017-11-23,普通住宅,满五年,非共有,"
                                有抵押 50万元
                              ",已上传房本照片,
广州,https://gz.lianjia.com/ershoufang/108403934604.html,2室1厅1厨1卫,低楼层 (共6层),51.52㎡,平层,46.67㎡,塔楼,东,钢混结构,精装,一梯六户,无,2022-11-27,商品房,2017-04-13,普通住宅,满五年,非共有,"
                                有抵押 70万元 光大银行
                              ",已上传房本照片,
广州,https://gz.lianjia.com/ershoufang/108403936752.html,2室2厅1厨1卫,低楼层 (共8层),62.92㎡,平层,暂无数据,塔楼,东南,钢混结构,其他,一梯四户,无,2022-11-28,商品房,1999-07-07,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
广州,https://gz.lianjia.com/ershoufang/108403931922.html,3室2厅1厨1卫,中楼层 (共7层),101.4㎡,平层,88.24㎡,塔楼,南,钢混结构,其他,一梯两户,无,2022-11-25,房改房,2019-11-15,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片,
广州,https://gz.lianjia.com/ershoufang/108403934885.html,2室1厅1厨1卫,中楼层 (共9层),44.09㎡,平层,39.84㎡,塔楼,北,钢混结构,简装,一梯六户,无,2022-11-27,商品房,2015-05-25,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
广州,https://gz.lianjia.com/ershoufang/108403932945.html,4室1厅1厨2卫,低楼层 (共24层),173.24㎡,平层,138.94㎡,板塔结合,南,钢混结构,精装,两梯四户,有,2022-11-26,商品房,2012-08-15,普通住宅,满五年,非共有,"
                                有抵押 250万元 金融公司垫资
                              ",已上传房本照片,
广州,https://gz.lianjia.com/ershoufang/108403910418.html,6室2厅1厨4卫,高楼层 (共24层),237.76㎡,平层,197.06㎡,塔楼,东南,钢混结构,毛坯,两梯五户,有,2022-11-15,商品房,2008-10-23,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
广州,https://gz.lianjia.com/ershoufang/108403902654.html,3室1厅1厨2卫,低楼层 (共20层),123.35㎡,平层,92.58㎡,塔楼,南,钢混结构,精装,两梯三户,有,2022-11-12,商品房,2014-04-15,普通住宅,满五年,共有,"
                                有抵押 20万元
                              ",已上传房本照片,
广州,https://gz.lianjia.com/ershoufang/108403880309.html,3室2厅1厨1卫,中楼层 (共17层),124.75㎡,平层,暂无数据,塔楼,东南,钢混结构,简装,两梯四户,有,2022-11-03,房改房,1998-11-10,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
广州,https://gz.lianjia.com/ershoufang/108403909202.html,2室1厅1厨1卫,高楼层 (共17层),82.1㎡,平层,64.95㎡,塔楼,南,钢混结构,毛坯,两梯四户,有,2022-11-15,商品房,2014-02-25,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
广州,https://gz.lianjia.com/ershoufang/108403911630.html,2室1厅1厨1卫,中楼层 (共30层),86.69㎡,平层,66.12㎡,塔楼,南,钢混结构,简装,两梯四户,有,2022-11-16,商品房,2017-11-21,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
广州,https://gz.lianjia.com/ershoufang/108403933133.html,4室2厅1厨2卫,低楼层 (共17层),93.16㎡,平层,74.74㎡,塔楼,南,钢混结构,精装,两梯六户,有,2022-11-26,商品房,2017-05-11,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
广州,https://gz.lianjia.com/ershoufang/108403932169.html,2室2厅1厨1卫,中楼层 (共19层),82.14㎡,平层,暂无数据,塔楼,北,钢混结构,简装,四梯十四户,有,2022-11-25,商品房,2018-08-25,商住两用,满两年,非共有,"
                                有抵押
                              ",已上传房本照片,民水
广州,https://gz.lianjia.com/ershoufang/108403918449.html,2室2厅1厨1卫,高楼层 (共32层),80.85㎡,暂无数据,67.21㎡,塔楼,北,钢混结构,简装,两梯六户,有,2022-11-19,商品房,2017-09-28,普通住宅,满五年,非共有,"
                                有抵押 20万元 农业银行 业主自还
                              ",已上传房本照片,
广州,https://gz.lianjia.com/ershoufang/108403925743.html,4室2厅1厨2卫,中楼层 (共31层),142.72㎡,平层,暂无数据,板楼,南,钢混结构,毛坯,三梯两户,有,2022-11-22,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片,
广州,https://gz.lianjia.com/ershoufang/108403925084.html,3室1厅1厨2卫,高楼层 (共28层),129.9㎡,平层,107.9㎡,塔楼,南 北,钢混结构,简装,两梯四户,有,2022-11-22,商品房,2012-12-17,普通住宅,满五年,共有,"
                                有抵押 200万元 中国建行 金融公司垫资
                              ",已上传房本照片,
广州,https://gz.lianjia.com/ershoufang/108403934122.html,2室1厅1厨1卫,高楼层 (共11层),75.75㎡,平层,62.94㎡,塔楼,北,钢混结构,简装,一梯四户,有,2022-11-26,商品房,2010-12-31,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
广州,https://gz.lianjia.com/ershoufang/108403929300.html,3室2厅1厨1卫,中楼层 (共6层),67.9㎡,平层,67.9㎡,板楼,南,混合结构,简装,一梯四户,无,2022-11-24,商品房,2014-04-16,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
广州,https://gz.lianjia.com/ershoufang/108403933213.html,2室2厅1厨1卫,中楼层 (共18层),84.71㎡,平层,暂无数据,塔楼,南,钢混结构,精装,两梯六户,有,2022-11-26,商品房,2008-11-26,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,
